timestamp,ping_google.com [ms]
1477844282,41.6
1477887482,56.1
1477930682,47.5
1477973882,5.54
1478017082,47.5
1478060282,5.61
1478103483,39.6
1478146682,5.63
1478189882,48.8
1478405882,5.57
1478492282,5.55
1478535483,49.1
1478578683,5.64
1478621882,39.7
1478665083,5.64
1478708282,48.0
1478751482,5.58
1478794682,47.4
1478837882,5.59
1479053883,40.3
1479097083,5.6
1479140283,48.5
1479183482,5.64
1479226682,39.6
1479269882,5.62
1479313082,40.3
1479356282,5.71
1479399483,41.8
1479442683,5.55
1479572282,48.1
1479615482,5.57
1479658682,46.4
1479701882,41.2
1479745082,47.7
1479788282,5.67
1479831482,48.5
1479874682,5.7
1479917882,40.5
1479961082,44.6
1480004282,43.3
1480047482,40.8
1480090682,47.9
1480133882,5.63
1480177083,5.77
1480220283,5.67
1480263482,5.72
1480306682,5.59
1480349882,6.02
1480393083,48.9
1480436283,43.3
1480479483,5.67
1480522682,40.6
1480565882,5.58
1480695482,47.5
1480738682,5.73
1480781883,47.5
1480825083,5.63
1480868282,46.6
1480911482,5.56
1480954682,48.1
1480997882,39.9
1481041083,48.2
1481084283,5.61
1481127482,48.3
1481170682,5.57
1481429883,5.56
1481473082,43.4
1481516283,5.65
1481559482,43.2
1481602682,5.65
1481645882,43.4
1481689082,41.5
1481732282,43.8
1481775482,5.7
1481905082,41.2
1481948282,47.8
1481991482,49.5
1482034682,40.8
1482077882,42.1
1482121082,5.62
1482164282,43.1
1482207482,5.61
1482250683,49.4
1482293882,39.7
1482337083,48.8
1482380282,39.9
1482423482,32.4
1482639482,31.7
1482682682,42.3
1482725882,47.8
1482769083,48.3
1482812282,41.1
1482855483,30.1
1482898682,50.2
1482941882,32.5
1482985082,40.1
1483028282,44.1
1483071483,29.7
1483157882,29.2
1483201083,40.5
1483244282,39.3
1483287483,31.7
1483330682,43.0
1483373883,40.6
1483417083,36.4
1483460282,39.6
1483503482,43.0
1483546682,37.6
1483589882,37.7
1483633082,38.3
1483676282,43.6
1483719482,40.3
1483762682,42.2
1483805882,49.6
1483849083,47.8
1483892282,36.4
1483935483,49.5
1483978683,48.8
1484021882,41.3
1484065082,29.0
1484108282,39.8
1484151482,41.3
1484194682,40.3
1484237882,43.9
1484281082,29.0
1484324283,49.5
1484367482,37.4
1484410682,37.1
1484453883,38.2
1484497082,38.8
1484540282,37.4
1484583482,37.0
1484626682,48.2
1484669882,48.4
1484713083,31.3
1484756282,41.4
1484799482,49.0
1484842683,40.6
1484885882,30.2
1484929082,48.1
1484972282,44.1
1485015482,41.2
1485058682,54.4
1485101882,40.2
1485145082,35.4
1485188282,29.8
1485231482,37.2
1485274682,29.1
1485317882,29.6
1485361082,48.5
1485404282,30.7
1485447482,29.4
1485490682,37.6
1485533883,41.2
1485577082,29.9
1485620282,36.7
1485663483,48.8
1485706682,41.5
1485749883,29.8
1485793082,42.9
1485836283,50.1
1485879483,40.1
1485922682,36.3
1485965882,49.2
1486009082,42.0
1486052283,69.5
1486095482,49.3
1486138682,39.9
1486181882,51.5
1486354682,47.9
1486397882,49.2
1486441083,29.8
1486484282,42.8
1486527483,40.6
1486570682,43.8
1486613882,31.0
1486657082,74.9
1486700282,39.5
1486743482,47.5
1486786682,49.0
