timestamp,ping_google.com [ms]
1466939402,7.05
1466943002,5.81
1466946603,40.2
1466950202,40.5
1466953802,56.7
1466957403,57.6
1466961002,39.9
1466964602,47.3
1466968202,49.7
1466971802,48.7
1466975402,40.1
1466979002,40.4
1466982603,53.8
1466986202,40.5
1466989802,40.3
1466993402,48.8
1466997002,5.65
1467000602,5.52
1467004202,5.58
1467007802,5.53
1467011402,5.56
1467015003,5.57
1467018602,5.58
1467022203,6.07
1467025802,6.58
1467029402,40.4
1467033002,47.4
1467034383,55.9
1467037982,56.3
1467041582,40.4
1467045183,49.1
1467048783,48.4
1467052383,40.0
