timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1480812662,None,53.5,-2.0
1480812962,None,53.437,-2.0
1480813262,None,53.5,-2.062
1480813562,None,53.437,-2.0
1480813862,None,53.437,-2.062
1480814162,None,53.5,-2.062
1480814462,None,53.5,-2.062
1480814762,None,53.562,-2.0
1480815062,None,53.562,-2.0
1480815362,None,53.562,-2.0
1480815662,None,53.625,-2.0
1480815963,None,53.562,-2.0
1480816263,None,53.625,-2.0
1480816563,None,53.5,-2.0
1480816863,None,53.5,-2.0
1480817162,None,53.5,-2.0
1480817462,None,53.5,-2.0
1480817762,None,53.5,-2.0
1480818062,None,53.5,-2.0
1480818362,None,53.5,-2.0
1480818662,None,53.437,-2.0
1480818963,None,53.437,-2.0
1480819263,None,53.437,-2.0
1480819562,None,53.437,-2.0
1480819862,None,53.375,-2.0
1480820162,None,53.375,-2.0
1480820462,None,53.375,-2.0
1480820762,None,53.375,-2.0
1480821062,None,53.437,-2.0
1480821362,None,53.437,-2.0
1480821662,None,53.437,-2.0
1480821963,None,53.437,-1.937
1480822263,None,53.437,-2.0
1480822562,None,53.437,-2.0
1480822862,None,53.5,-2.0
1480823162,None,53.5,-2.0
1480823462,None,53.5,-2.0
1480823762,None,53.5,-2.0
1480824062,None,53.562,-2.0
1480824363,None,53.562,-2.0
1480824662,None,53.562,-1.937
1480824962,None,53.562,-2.0
1480825262,None,53.5,-2.0
1480825562,None,53.5,-2.0
1480825862,None,53.562,-2.0
1480826162,None,53.562,-1.937
1480826462,None,53.562,-1.937
1480826762,None,53.562,-1.937
1480827062,None,53.562,-1.937
1480827363,None,53.625,-1.937
1480827663,None,53.625,-2.0
1480827962,None,53.625,-1.937
1480828262,None,53.687,-2.0
1480828562,None,53.687,-2.0
1480828862,None,53.687,-2.0
1480829162,None,53.687,-2.0
1480829462,None,53.75,-1.937
1480829763,None,53.75,-2.0
1480830063,None,53.75,-2.0
1480830362,None,53.75,-2.0
1480830662,None,53.75,-2.0
1480830962,None,53.75,-2.0
1480831262,None,53.75,-2.062
1480831562,None,53.812,-2.0
1480831862,None,53.75,-2.062
1480832162,None,53.75,-2.062
1480832462,None,53.812,-2.062
1480832762,None,53.812,-2.125
1480833062,None,53.812,-2.125
1480833362,None,53.812,-2.125
1480833662,None,53.812,-2.125
1480833962,None,53.812,-2.125
1480834263,None,53.812,-2.125
1480834563,None,53.75,-2.062
1480834863,None,53.812,-2.125
1480835162,None,53.812,-2.062
1480835463,None,53.812,-2.062
1480835763,None,53.875,-2.062
1480836062,None,53.875,-2.062
1480836362,None,53.812,-2.0
1480836662,None,53.812,-2.0
1480836963,None,53.812,-2.0
1480837262,None,53.812,-2.0
1480837562,None,53.812,-2.0
1480837862,None,53.875,-2.0
1480838162,None,53.875,-2.0
1480838462,None,53.937,-2.0
1480838762,None,53.937,-1.937
1480839062,None,53.937,-1.937
1480839363,None,53.937,-2.0
1480839663,None,53.937,-1.937
1480839962,None,53.937,-1.937
1480840262,None,53.937,-1.937
1480840563,None,54.0,-1.937
1480840863,None,53.937,-2.0
1480841162,None,54.0,-2.0
1480841462,None,54.0,-2.0
1480841762,None,54.0,-2.062
1480842062,None,53.937,-2.0
1480842363,None,53.937,-2.062
1480842662,None,53.875,-2.062
1480842962,None,53.875,-2.062
1480843262,None,53.875,-2.062
1480843562,None,53.812,-2.062
1480843862,None,53.875,-2.062
1480844162,None,53.812,-2.062
1480844462,None,53.875,-2.062
1480844763,None,53.812,-2.125
1480845062,None,53.812,-2.062
1480845362,None,53.75,-2.062
1480845663,None,53.75,-2.0
1480845962,None,53.75,-2.0
1480846262,None,53.75,-1.937
1480846562,None,53.687,-1.937
1480846862,None,53.75,-1.875
1480847162,None,53.75,-1.812
1480847462,None,53.687,-1.75
1480847762,None,53.75,-1.75
1480848062,None,53.75,-1.687
1480848363,None,53.75,-1.625
1480848662,None,53.75,-1.625
1480848962,None,53.75,-1.5
1480849262,None,53.687,-1.437
1480849562,None,53.75,-1.375
1480849862,None,53.75,-1.375
1480850162,None,53.687,-1.312
1480850462,None,53.812,-1.25
1480850762,None,53.75,-1.187
1480851062,None,53.75,-1.125
1480851362,None,53.687,-1.0
1480851662,None,53.75,-0.937
1480851962,None,53.625,-0.875
1480852262,None,53.625,-0.812
1480852562,None,53.625,2.687
1480852862,None,53.687,0.687
1480853163,None,53.687,0.125
1480853462,None,53.687,0.0
1480853762,None,53.687,0.375
1480854062,None,53.687,0.562
1480854362,None,53.625,0.75
1480854662,None,53.562,1.375
1480854962,None,53.625,1.562
1480855262,None,53.625,1.75
1480855562,None,53.625,2.312
