timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1466957222,28.875,25.562,32.875
1467044882,28.0,25.937,29.562
1467131283,26.312,24.5,24.687
1467217682,27.0,23.437,28.062
1467304082,24.687,23.312,23.937
1467390482,25.687,23.187,26.562
1467476883,28.187,24.187,29.812
1467563282,26.75,24.625,34.375
1467649683,27.75,25.125,33.437
1467736082,28.625,26.0,33.187
1467822482,28.437,26.25,30.75
1467908882,28.937,26.25,31.562
1467995282,28.375,26.562,33.625
1468081683,28.375,26.875,32.187
1468168082,27.375,26.375,26.687
1468254482,27.187,25.75,30.625
1468340883,26.812,25.5,28.187
1468427282,28.375,25.125,30.062
1468513682,28.937,24.562,31.375
1468600082,28.437,24.937,33.562
1468686483,27.312,25.062,31.812
1469032083,28.687,25.687,31.187
1469118482,28.0,25.937,31.375
1469204882,28.437,26.125,34.5
1469291282,28.562,26.25,32.125
1469377682,28.75,26.375,33.625
1469464082,28.312,25.75,32.937
1469550482,28.875,25.375,32.062
1469636882,28.312,25.625,34.312
1469723282,28.562,26.25,34.812
1469809683,29.062,26.687,36.125
1469896082,29.312,27.0,36.0
1469982482,None,27.625,35.062
1470068883,30.437,28.125,35.687
1470155282,30.562,28.5,36.187
1470241682,None,29.0,35.5
1470328082,None,29.187,34.312
1470414482,30.875,28.437,34.312
1470500882,29.125,27.187,32.625
1470587282,29.937,27.625,33.187
1470673683,30.375,27.937,32.187
1470760082,30.875,28.187,30.375
1470846483,29.562,27.562,28.937
1470932882,None,27.187,29.0
1471019282,None,27.5,29.75
1471192082,None,28.875,31.062
1471278482,None,29.125,31.937
1471364882,None,28.812,30.5
1471451283,None,27.562,29.437
1471537682,None,27.312,29.812
1471624082,None,27.375,31.687
1471796882,None,27.0,29.812
1471883282,None,27.625,30.0
1471969682,None,28.0,30.875
1472056082,None,28.25,30.437
1472142482,None,28.187,30.687
1472228882,None,27.312,28.5
1472401682,None,None,None
1472488082,None,None,None
1472574482,25.375,23.125,22.875
1472660883,27.312,23.312,28.875
1472747282,None,23.687,26.625
1472833683,24.875,23.5,22.812
1472920082,25.125,23.187,28.312
1473006482,None,23.375,28.062
1473092882,None,23.375,25.25
1473179282,None,23.0,24.0
1473265682,24.187,22.687,22.437
1473352082,23.437,21.875,18.687
1474734482,26.312,26.812,25.375
1474820882,None,None,None
1474907282,None,None,None
1474993682,None,None,None
1475080082,None,None,None
1475166482,None,None,None
1475339282,25.75,40.5,17.0
1475425682,25.687,37.375,20.125
1475512082,25.312,36.562,21.312
1475598482,25.5,34.125,22.812
1475684882,25.812,32.562,22.937
1475771282,26.0,38.812,17.875
1475857682,25.75,38.5,20.75
1475944082,25.312,39.375,21.0
1476030482,25.375,41.5,16.0
1476116882,24.687,42.5,12.437
1476203282,25.125,43.5,12.5
1476289682,25.375,43.187,16.062
1476376082,25.375,43.5,12.625
1476635282,25.812,44.687,17.812
1476721682,25.375,44.25,11.875
1476808083,24.5,43.562,12.25
1476894482,25.375,44.187,8.562
1476980882,24.375,44.187,8.437
1477240082,None,45.687,14.812
1477326482,None,44.75,13.375
1477412883,24.687,45.812,8.375
1477499282,25.437,45.562,8.187
1477585682,25.125,45.687,7.312
1477844882,24.812,46.687,5.812
1477931283,24.625,46.062,6.187
1478017682,24.562,48.5,5.937
1478104082,25.062,47.625,9.937
1478190482,None,48.125,6.062
1478536083,None,48.062,4.937
1478622483,None,44.437,4.312
1478708882,None,49.187,4.687
1478795282,None,52.312,6.0
1479054482,None,47.25,5.937
1479140882,25.812,55.625,8.187
1479227282,None,None,None
1479313682,None,None,None
