timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1516863782,23.312,52.0,-1.312
1516864982,23.5,52.125,-1.375
1516866182,23.5,52.187,-1.375
1516867382,23.437,52.125,-1.375
1516868582,23.812,52.25,-1.437
1516869782,23.687,52.187,-1.5
1516870982,23.937,52.125,-1.5
1516872182,23.75,51.937,-1.5
1516873382,23.812,51.937,-1.5
1516874582,23.875,52.0,-1.437
1516875782,23.812,52.0,-1.25
1516876982,24.0,52.062,-1.062
1516878182,23.625,52.0,-0.75
1516879382,23.812,52.0,-0.375
1516880582,23.562,52.062,0.062
1516881783,24.062,51.875,0.437
1516882982,24.0,52.0,1.062
1516884182,23.812,51.875,1.812
1516885382,25.5,51.812,2.062
1516886583,25.687,51.625,1.625
1516887782,25.75,51.312,1.562
1516888982,25.687,51.187,1.437
1516890182,25.562,51.062,1.187
1516891382,25.5,51.0,1.125
1516892582,25.562,51.0,0.875
1516893782,25.562,50.812,0.75
1516894982,25.5,50.875,0.437
1516896182,25.437,50.937,0.187
1516897382,25.437,50.875,-0.062
1516898582,25.437,50.937,-0.312
1516899782,25.5,50.937,-0.562
1516900982,25.375,50.875,-0.875
1516902182,25.375,50.812,-1.062
1516903383,25.312,50.687,-1.25
1516904582,25.312,50.75,-1.375
1516905783,23.687,50.687,-1.062
1516906983,23.812,50.687,-1.062
1516908183,24.125,50.75,3.312
1516909382,24.687,50.687,-0.687
1516910582,24.937,50.75,-0.937
1516911782,24.25,51.0,-1.062
1516912982,23.937,50.875,-1.125
1516914182,23.875,50.875,-1.187
1516915382,24.062,50.875,-1.187
1516916582,23.937,50.75,-1.187
1516917782,23.875,50.625,-1.187
1516918982,23.875,50.812,-1.25
1516920182,23.812,50.75,-1.25
1516921382,23.875,50.687,-1.25
1516922582,24.0,50.812,-1.25
1516923783,23.937,50.812,-1.312
1516924982,23.937,50.937,-1.312
1516926182,24.0,51.0,-1.375
1516927383,24.062,51.0,-1.437
1516928582,24.062,51.125,-1.375
1516929782,23.937,51.062,-1.437
1516930983,23.875,51.187,-1.5
1516932182,24.0,51.125,-1.5
1516933382,24.062,51.062,-1.562
1516934582,24.125,51.312,-1.562
1516935783,23.875,51.437,-1.625
1516936982,23.937,51.625,-1.812
1516938182,23.812,51.625,-1.875
1516939382,23.812,51.875,-1.937
1516940582,23.812,51.937,-2.0
1516941783,23.75,52.0,-2.062
1516942983,23.812,52.125,-2.187
1516944182,23.875,52.375,-2.25
1516945382,23.687,52.5,-2.312
1516946582,24.0,52.625,-2.312
1516947782,23.937,52.75,-2.375
1516948982,23.875,52.875,-2.375
1516950183,23.75,53.125,-2.5
1516951382,23.812,53.437,-2.5
1516952582,23.937,53.437,-2.625
1516953782,23.937,53.562,-2.625
1516954982,23.937,53.5,-2.687
1516956182,23.812,53.562,-2.812
1516957382,23.687,53.562,-2.875
1516958582,23.812,53.687,-3.0
1516959782,23.812,53.812,-3.062
1516960982,23.75,53.812,-3.0
1516962182,23.812,54.125,-2.75
1516963382,23.812,54.25,-2.437
1516964582,23.75,54.312,-2.187
1516965782,23.75,54.375,-1.937
1516966983,23.937,54.375,0.375
1516968182,23.937,54.625,5.187
1516969383,24.125,54.687,7.437
1516970582,24.25,54.687,10.5
1516971782,24.625,54.75,12.562
1516972983,25.562,54.812,12.75
1516974182,25.812,54.812,12.25
1516975382,25.875,54.75,11.687
1516976582,25.75,54.812,10.5
1516977782,25.812,54.812,9.25
1516978983,25.875,54.75,8.5
1516980183,26.062,54.687,7.375
1516981383,26.187,54.375,6.375
1516982582,26.0,54.187,5.25
1516983782,25.937,54.0,4.312
1516984983,25.937,54.0,3.187
1516986182,25.875,53.875,2.187
1516987382,25.937,53.625,1.25
1516988582,25.5,53.687,2.312
1516989782,25.75,54.25,0.312
1516990982,25.562,54.75,0.125
1516992182,25.625,55.187,-0.062
1516993382,25.75,55.562,-0.25
1516994582,25.625,55.812,-0.687
1516995783,25.625,55.875,-0.937
1516996982,25.562,56.0,-1.25
1516998182,25.25,56.125,-1.25
1516999382,25.312,56.187,-1.375
1517000582,25.437,56.125,-1.5
1517001782,24.562,56.312,-1.625
1517002982,24.687,56.375,-1.812
1517004183,24.625,56.437,-1.875
1517005382,24.5,56.5,-2.0
1517006583,24.125,56.437,-2.125
1517007782,24.187,56.375,-2.25
1517008982,23.937,56.312,-2.375
1517010183,24.062,56.312,-2.5
1517011382,24.062,56.25,0.875
1517012583,23.687,56.25,-2.437
1517013782,23.937,56.187,-2.687
1517014982,24.25,56.062,-2.812
1517016183,24.437,56.0,-2.875
1517017382,24.437,56.125,-3.0
1517018582,24.312,56.062,-3.125
1517019782,24.437,55.875,-3.125
1517020982,24.25,55.875,-3.25
1517022182,24.437,55.937,-3.312
1517023382,24.25,55.937,-3.375
1517024583,23.937,56.0,-3.5
1517025782,23.875,56.125,-3.562
1517026982,23.812,56.187,-3.687
1517028183,23.812,56.125,-3.75
1517029383,23.75,56.25,-3.875
1517030582,23.812,56.312,-3.937
1517031782,23.75,56.625,-4.062
1517032982,23.625,56.687,-4.187
1517034182,23.5,57.0,-4.312
1517035382,23.625,57.062,-4.437
