timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1466913902,27.812,26.062,24.812
1466957102,28.875,25.562,32.875
1467000302,27.687,25.812,26.312
1467044282,28.0,25.937,29.0
1467087483,27.25,25.562,22.625
1467130682,26.375,24.5,24.875
1467260283,None,None,None
1467303482,24.625,23.312,24.0
1467346682,24.937,22.562,21.312
1467389882,25.875,23.187,27.75
1467433082,24.937,23.812,21.187
1467476283,28.5,24.187,30.875
1467519482,26.375,25.187,23.312
1467562682,26.75,24.625,34.5
1467605883,27.187,25.375,22.562
1467649082,27.75,25.125,33.375
1467692283,28.0,25.812,26.625
1467735482,28.625,25.937,33.312
1467778682,28.312,26.687,27.0
1467821882,28.562,26.25,30.812
